Order_ID,Customer_ID,Order_Date,Product_Category,Product_Price,Quantity,Payment_Method,Delivery_Status,Customer_Age,Customer_Gender,Discount_Applied,Total_Sales,Region,Customer_Rating,Return_Status
ORD1000,CUST125,2023-01-01,Groceries,496.0,8,Debit Card,On Time,50.0,Other,12,<function <lambda> at 0x796a7ccaae60>,North,4.0,Not Returned
ORD1001,CUST90,2023-01-02,Home Decor,194.0,2,PayPal,Cancelled,63.0,Female,4,<function <lambda> at 0x796a7ccaae60>,North,1.0,Not Returned
ORD1002,CUST111,2023-01-03,Electronics,250.0,4,Cash,Cancelled,22.0,Male,24,<function <lambda> at 0x796a7ccaae60>,South,1.0,Returned
ORD1003,CUST79,2023-01-04,Groceries,466.0,2,Credit Card,Cancelled,60.0,Male,19,<function <lambda> at 0x796a7ccaae60>,East,3.0,Returned
ORD1004,CUST161,2023-01-05,Groceries,261.0,5,PayPal,On Time,65.0,Male,17,<function <lambda> at 0x796a7ccaae60>,West,4.0,Returned
ORD1005,CUST112,2023-01-06,Home Decor,269.0,9,Cash,Cancelled,51.0,Female,46,<function <lambda> at 0x796a7ccaae60>,North,3.0,Not Returned
ORD1006,CUST102,2023-01-07,Electronics,289.0,1,PayPal,On Time,57.0,Male,17,<function <lambda> at 0x796a7ccaae60>,East,3.0,Returned
ORD1007,CUST173,2023-01-08,Electronics,462.0,5,PayPal,Cancelled,28.0,Female,1,<function <lambda> at 0x796a7ccaae60>,South,2.0,Returned
ORD1008,CUST125,2023-01-09,Groceries,446.0,9,PayPal,On Time,67.0,Male,9,<function <lambda> at 0x796a7ccaae60>,West,2.0,Not Returned
ORD1009,CUST59,2023-01-10,Clothing,95.0,1,Credit Card,Cancelled,20.0,Male,44,<function <lambda> at 0x796a7ccaae60>,West,4.0,Not Returned
ORD1010,CUST135,2023-01-11,Groceries,84.0,9,Cash,Late,50.0,Female,49,<function <lambda> at 0x796a7ccaae60>,North,5.0,Not Returned
ORD1011,CUST74,2023-01-12,Groceries,302.0,8,Debit Card,Cancelled,28.0,Male,46,<function <lambda> at 0x796a7ccaae60>,West,2.0,Returned
ORD1012,CUST129,2023-01-13,Groceries,439.0,4,Credit Card,Cancelled,33.0,Other,11,<function <lambda> at 0x796a7ccaae60>,West,5.0,Returned
ORD1013,CUST14,2023-01-14,Groceries,131.0,5,Credit Card,On Time,35.0,Female,46,<function <lambda> at 0x796a7ccaae60>,West,1.0,Returned
ORD1014,CUST119,2023-01-15,Home Decor,420.0,5,Credit Card,On Time,47.0,Female,12,<function <lambda> at 0x796a7ccaae60>,West,2.0,Not Returned
ORD1015,CUST4,2023-01-16,Electronics,305.0,6,Debit Card,Cancelled,65.0,Female,49,<function <lambda> at 0x796a7ccaae60>,South,2.0,Not Returned
ORD1016,CUST145,2023-01-17,Home Decor,246.0,7,Cash,Late,27.0,Other,46,<function <lambda> at 0x796a7ccaae60>,East,4.0,Not Returned
ORD1017,CUST103,2023-01-18,Home Decor,352.0,8,Cash,Late,35.0,Female,10,<function <lambda> at 0x796a7ccaae60>,South,5.0,Not Returned
ORD1018,CUST155,2023-01-19,Home Decor,458.0,8,Cash,On Time,55.0,Male,18,<function <lambda> at 0x796a7ccaae60>,South,2.0,Returned
ORD1019,CUST193,2023-01-20,Groceries,499.0,2,PayPal,Late,36.0,Male,34,<function <lambda> at 0x796a7ccaae60>,North,2.0,Returned
ORD1020,CUST42,2023-01-21,Clothing,59.0,9,PayPal,Cancelled,53.0,Male,38,<function <lambda> at 0x796a7ccaae60>,West,4.0,Returned
ORD1021,CUST66,2023-01-22,Electronics,361.0,7,PayPal,On Time,30.0,Female,25,<function <lambda> at 0x796a7ccaae60>,South,4.0,Returned
ORD1022,CUST199,2023-01-23,Clothing,335.0,4,Debit Card,Cancelled,63.0,Male,45,<function <lambda> at 0x796a7ccaae60>,West,5.0,Returned
ORD1023,CUST111,2023-01-24,Home Decor,291.0,4,PayPal,On Time,20.0,Female,13,<function <lambda> at 0x796a7ccaae60>,South,1.0,Returned
ORD1024,CUST63,2023-01-25,Home Decor,300.0,8,Debit Card,On Time,27.0,Male,44,<function <lambda> at 0x796a7ccaae60>,South,1.0,Returned
ORD1025,CUST90,2023-01-26,Clothing,414.0,4,Cash,On Time,55.0,Other,43,<function <lambda> at 0x796a7ccaae60>,North,3.0,Returned
ORD1026,CUST17,2023-01-27,Clothing,54.0,6,PayPal,On Time,18.0,Other,23,<function <lambda> at 0x796a7ccaae60>,East,2.0,Not Returned
ORD1027,CUST21,2023-01-28,Clothing,168.0,5,PayPal,Late,44.0,Other,40,<function <lambda> at 0x796a7ccaae60>,East,5.0,Not Returned
ORD1028,CUST178,2023-01-29,Home Decor,338.0,3,Credit Card,Cancelled,63.0,Other,0,<function <lambda> at 0x796a7ccaae60>,South,-1.0,Returned
ORD1029,CUST48,2023-01-30,Home Decor,423.0,2,Debit Card,Cancelled,,Female,42,<function <lambda> at 0x796a7ccaae60>,North,5.0,Not Returned
ORD1030,CUST198,2023-01-31,Electronics,114.0,9,Cash,Cancelled,68.0,Male,21,<function <lambda> at 0x796a7ccaae60>,West,5.0,Returned
ORD1031,CUST35,2023-02-01,Electronics,195.0,9,Credit Card,On Time,63.0,Other,22,<function <lambda> at 0x796a7ccaae60>,West,5.0,Returned
ORD1032,CUST67,2023-02-02,Home Decor,273.0,1,Credit Card,Late,59.0,Female,18,<function <lambda> at 0x796a7ccaae60>,South,2.0,Not Returned
ORD1033,CUST158,2023-02-03,Clothing,288.0,3,Cash,Cancelled,34.0,Other,17,<function <lambda> at 0x796a7ccaae60>,East,4.0,Returned
ORD1034,CUST174,2023-02-04,Clothing,226.0,8,Credit Card,Late,26.0,Other,11,<function <lambda> at 0x796a7ccaae60>,North,2.0,Returned
ORD1035,CUST78,2023-02-05,Electronics,316.0,6,Debit Card,On Time,23.0,Female,27,<function <lambda> at 0x796a7ccaae60>,East,,Returned
ORD1036,CUST139,2023-02-06,Home Decor,390.0,5,Debit Card,Cancelled,60.0,Female,27,<function <lambda> at 0x796a7ccaae60>,West,3.0,Returned
ORD1037,CUST181,2023-02-07,Electronics,331.0,5,PayPal,Late,42.0,Male,32,<function <lambda> at 0x796a7ccaae60>,East,1.0,Returned
ORD1038,CUST164,2023-02-08,Electronics,112.0,6,Credit Card,On Time,56.0,Male,18,<function <lambda> at 0x796a7ccaae60>,West,-1.0,Returned
ORD1039,CUST107,2023-02-09,Groceries,5000.0,7,PayPal,Late,66.0,Other,27,<function <lambda> at 0x796a7ccaae60>,North,3.0,Returned
ORD1040,CUST140,2023-02-10,Groceries,391.0,1,Credit Card,Cancelled,45.0,Other,48,<function <lambda> at 0x796a7ccaae60>,North,4.0,Not Returned
ORD1041,CUST64,2023-02-11,Groceries,364.0,9,Debit Card,Cancelled,50.0,Male,36,<function <lambda> at 0x796a7ccaae60>,South,5.0,Not Returned
ORD1042,CUST50,2023-02-12,Clothing,332.0,3,Debit Card,On Time,54.0,Male,25,<function <lambda> at 0x796a7ccaae60>,South,3.0,Returned
ORD1043,CUST123,2023-02-13,Home Decor,226.0,4,Debit Card,On Time,26.0,Female,34,<function <lambda> at 0x796a7ccaae60>,East,5.0,Not Returned
ORD1044,CUST126,2023-02-14,Home Decor,466.0,1,Credit Card,On Time,35.0,Male,33,<function <lambda> at 0x796a7ccaae60>,North,2.0,Returned
ORD1045,CUST64,2023-02-15,Home Decor,147.0,3,Debit Card,Late,38.0,Male,34,<function <lambda> at 0x796a7ccaae60>,North,3.0,Returned
ORD1046,CUST134,2023-02-16,Home Decor,154.0,2,Credit Card,Late,19.0,Other,39,<function <lambda> at 0x796a7ccaae60>,South,2.0,Returned
ORD1047,CUST89,2023-02-17,Groceries,148.0,2,PayPal,Late,60.0,Male,15,<function <lambda> at 0x796a7ccaae60>,West,2.0,Returned
ORD1048,CUST37,2023-02-18,Clothing,434.0,1,Credit Card,On Time,55.0,Other,37,<function <lambda> at 0x796a7ccaae60>,East,3.0,Not Returned
ORD1049,CUST19,2023-02-19,Clothing,454.0,8,PayPal,Cancelled,57.0,Male,12,<function <lambda> at 0x796a7ccaae60>,East,1.0,Not Returned
ORD1050,CUST26,2023-02-20,Groceries,360.0,3,Credit Card,Cancelled,53.0,Female,22,<function <lambda> at 0x796a7ccaae60>,South,3.0,Not Returned
ORD1051,CUST14,2023-02-21,Clothing,55.0,3,PayPal,Late,67.0,Male,21,<function <lambda> at 0x796a7ccaae60>,North,1.0,Not Returned
ORD1052,CUST195,2023-02-22,Groceries,246.0,6,Debit Card,Late,60.0,Male,15,<function <lambda> at 0x796a7ccaae60>,South,5.0,Returned
ORD1053,CUST78,2023-02-23,Home Decor,400.0,8,PayPal,Cancelled,54.0,Male,27,<function <lambda> at 0x796a7ccaae60>,South,5.0,Not Returned
ORD1054,CUST44,2023-02-24,Groceries,182.0,9,Debit Card,Cancelled,32.0,Other,47,<function <lambda> at 0x796a7ccaae60>,South,3.0,Returned
ORD1055,CUST116,2023-02-25,Home Decor,407.0,9,Debit Card,Late,45.0,Female,34,<function <lambda> at 0x796a7ccaae60>,South,5.0,Returned
ORD1056,CUST172,2023-02-26,Home Decor,308.0,4,PayPal,Late,35.0,Male,44,<function <lambda> at 0x796a7ccaae60>,West,4.0,Not Returned
ORD1057,CUST60,2023-02-27,Electronics,486.0,5,Credit Card,Cancelled,51.0,Other,45,<function <lambda> at 0x796a7ccaae60>,West,2.0,Returned
ORD1058,CUST28,2023-02-28,Groceries,72.0,2,Credit Card,On Time,39.0,Female,7,<function <lambda> at 0x796a7ccaae60>,North,2.0,Not Returned
